,City,Latitude,Longitude
1,Guwahati,26.1805978,91.753943
2,Kolkata,22.5726723,88.3638815
3,Raipur,21.2379469,81.6336833
4,Thiruvananthapuram,8.5241122,76.9360573
5,Jaipur,26.916194,75.820349
6,Chennai,13.0801721,80.2838331
7,Hyderabad,17.38878595,78.46106473
8,Pune,18.521428,73.8544541
9,Indore,22.7203616,75.8681996
10,Delhi,28.6273928,77.1716954
11,Bangalore,12.9791198,77.5912997
12,Lucknow,26.8381,80.9346001
13,Mumbai,18.9387711,72.8353355
14,Jio_Institute,18.978793,73.02235
